판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,판결요지,선고,판례상세링크
142723,이혼,2009르216,2009.07.10,부산지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=142723&type=HTML&mobileYn=
157585,이혼및 위자료·재산 분할·이혼등,2008르676,2009.06.25,광주지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=157585&type=HTML&mobileYn=
142005,이혼등,2008르1571,2009.06.17,수원지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=142005&type=HTML&mobileYn=
227975,이혼,2008르242,2009.06.05,광주고등법원,가사,400103,판결 : 상고,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=227975&type=HTML&mobileYn=
144088,이혼및재산분할등,2007드합7195,2009.04.30,서울가정법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=144088&type=HTML&mobileYn=
145423,이혼,2007드단74907,2009.04.17,서울가정법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=145423&type=HTML&mobileYn=
138509,이혼등,2008므3105,2009.04.09,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=138509&type=HTML&mobileYn=
144492,이혼및위자료·이혼및위자료등,2008르152,2009.03.27,대구고등법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=144492&type=HTML&mobileYn=
133483,이혼·이혼등,2008르2020,2009.03.20,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=133483&type=HTML&mobileYn=
164371,이혼,2007드단33909,2009.02.18,부산지방법원가정지원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=164371&type=HTML&mobileYn=
147651,이혼,2008르882,2009.02.02,수원지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=147651&type=HTML&mobileYn=
144183,이혼,2008르332,2009.01.09,부산지방법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=144183&type=HTML&mobileYn=
157556,이혼및 위자료·재산 분할·이혼등,2007드단4986,2008.08.14,광주지방법원순천지원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=157556&type=HTML&mobileYn=
141991,이혼등,2007드단1401,2008.07.31,수원지방법원성남지원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=141991&type=HTML&mobileYn=
71057,이혼및재산분할등,2007르2139,2008.04.18,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=71057&type=HTML&mobileYn=
69147,이혼등,2007므1690,2007.12.14,대법원,가사,400103,판결,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=69147&type=HTML&mobileYn=
70868,이혼(북한 이탈주민 이혼소송),2004드단63067,2007.08.23,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70868&type=HTML&mobileYn=
70866,이혼(북한 이탈주민 이혼소송),2004드단77721,2007.06.22,서울가정법원,가사,400103,판결 : 확정,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70866&type=HTML&mobileYn=
70688,이혼·이혼등,2005드합5201,2007.01.24,서울가정법원,가사,400103,판결 : 항소,,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=70688&type=HTML&mobileYn=
