판례일련번호,사건명,사건번호,선고일자,법원명,사건종류명,사건종류코드,판결유형,선고,판례상세링크
238057,소송비용부담및확정[구 「변호사보수의 소송비용 산입에 관한 규칙」(2018. 3. 7. 대법원규칙 제2779호로 일부 개정된 것) 적용 범위에 관한 사건],2023마7064,2023.11.07,대법원,민사,400101,결정,자,/DRF/lawService.do?OC=cacao5424&target=prec&ID=238057&type=HTML&mobileYn=
206263,약사법위반[상고이유 제한에 관한 법리에 대한 대법원 판례의 변경 여부가 쟁점이 된 사건],2017도16593,2019.03.21,대법원,형사,400102,전원합의체 판결,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=206263&type=HTML&mobileYn=
164913,"특정경제범죄가중처벌 등에 관한 법률 위반(횡령)·특정경제범죄가중처벌 등에 관한 법률 위반(배임)(피고인1,3,5(대법원판결의 피고인4)에 대하 여일부인정된죄명:업무상배임)·업무상배임·정치자금법 위반·상법 위반·공정증서원본불실기재·불실기재공정증서원본행사·근로기준법 위반",2011노2649,2012.01.19,서울고등법원,형사,400102,판결,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=164913&type=HTML&mobileYn=
186695,폭발물사용·폭발물사용방조[피고인2(대법원판결의공소외인)]에대하여인정된죄명:철도안전법위반),2011노2480,2011.11.24,서울고등법원,형사,400102,판결,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=186695&type=HTML&mobileYn=
221075,특정범죄가중처벌등에관한법률위반(뇌물)[피고인1·피고인2(대법원판결의피고인1)·피고인3에대하여인정된죄명특정범죄가중처벌등에관한법률위반(뇌물)방조]·특정경제범죄가중처벌등에관한법률위반(횡령)(인정된죄명업무상횡령)·뇌물공여·특정범죄가중처벌등에관한법률위반(뇌물)방조·상법위반·공정증서원본불실기재·불실기재공정증서원본행사,2011노188,2011.07.07,서울고등법원,형사,400102,판결,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=221075&type=HTML&mobileYn=
159869,특정 경제범죄 가중처벌등에 관한 법률위반(사기)·특정 경제범죄 가중처벌등에 관한 법률위반(횡령)[피고인1·2에 대하여 일부 인정된 죄명:특정 경제범죄 가중처벌등에 관한 법률위반(배임)·업무상 배임·피고인3에 대하여 일부 인정된 죄명:특정 경제범죄 가중처벌등에 관한 법률위반(배임)]·특정 경제범죄 가중처벌등에 관한 법률위반(배임)·증권 거래법 위반(인정된 죄명:자본시장과 금융 투자업에 관한 법률위반)·자본시장과 금융 투자업에 관한 법률위반[피고인5(대법원판결의피고인4)·피고인6(대법원판결의피고인5)에 대하여 인정된 죄명:자본시장과 금융투자업에 관한 법률위반 방조·피고인12(대법원판결의피고인11)·피고인13(대법원판결의피고인12)에 대하여 일부 인정된 죄명:자본시장과 금융 투자업에 관한 법률 위반방조],2010노3160,2011.06.09,서울고등법원,형사,400102,판결,선고,/DRF/lawService.do?OC=cacao5424&target=prec&ID=159869&type=HTML&mobileYn=
